"brewery_id"	"brewery_name"	"city"	"state"	"lon"	"lat"	"address"
486	"Stillmank Beer Company"	"Green Bay"	" WI"	-87.9783812	44.5045449	"215 n henry st, green bay, wi 54302, usa"
487	"Redhook Brewery"	"Woodinville"	" WA"	-122.322711	47.614416	"714 e pike st, seattle, wa 98122, usa"
488	"Dock Street Brewery"	"Philadelphia"	" PA"	-75.2227932	39.9477506	"701 s 50th st, philadelphia, pa 19143, usa"
489	"Blue Point Brewing Company"	"Patchogue"	" NY"	-73.0215883	40.7592287	"161 river ave, patchogue, ny 11772, usa"
490	"Tampa Bay Brewing Company"	"Tampa"	" FL"	-82.4416674	27.9614191	"1600 e 8th ave, tampa, fl 33605, usa"
491	"Devil's Canyon Brewery"	"Belmont"	" CA"	-122.2442823	37.4982566	"935 washington st, san carlos, ca 94070, usa"
492	"Stone Coast Brewing Company"	"Portland"	" ME"	-70.2556593	43.655776	"2 portland square, portland, me 04101, usa"
493	"Broken Tooth Brewing Company"	"Anchorage"	" AK"	-149.8429229	61.222711	"2021 spar ave, anchorage, ak 99501, usa"
494	"Seven Brides Brewery"	"Silverton"	" OR"	-122.7850439	45.014014	"990 n 1st st, silverton, or 97381, usa"
495	"Newburyport Brewing Company"	"Newburyport"	" MA"	-70.8866459	42.8045446	"4 new pasture rd, newburyport, ma 01950, usa"
496	"Dry Dock Brewing Company"	"Aurora"	" CO"	-104.8120404	39.6526645	"15120 e hampden ave, aurora, co 80014, usa"
497	"Cans Bar and Canteen"	"Charlotte"	" NC"	-80.8431267	35.2270869	"charlotte, nc, usa"
498	"Sprecher Brewing Company"	"Glendale"	" WI"	-87.919663	43.09965	"701 w glendale ave, milwaukee, wi 53209, usa"
499	"Wildwood Brewing Company"	"Stevensville"	" MT"	-114.1085981	46.5299916	"4018 us-93, stevensville, mt 59870, usa"
500	"High Noon Saloon And Brewery"	"Leavenworth"	" KS"	-94.9110827	39.3168802	"206 choctaw st, leavenworth, ks 66048, usa"
501	"Woodchuck Hard Cider"	"Middlebury"	" VT"	-73.1653944	44.0364778	"1321 exchange st, middlebury, vt 05753, usa"
