AID	TelemDate	TimeLag	AEA_X	AEA_Y
56B	2010-05-05 21:00:00.000	60	-1066283.53200257	2494329.08037481
56B	2010-05-05 22:00:00.000	60	-1066283.04172455	2494343.63250659
56B	2010-05-05 23:00:00.000	60	-1066178.91515919	2494273.58390672
56B	2010-05-06 00:00:00.000	60	-1066209.8930604	2494168.92035302
56B	2010-05-06 01:00:00.000	60	-1066199.80926895	2494216.96567568
56B	2010-05-06 02:00:00.000	60	-1066203.25469475	2494215.2101764
56B	2010-05-06 03:00:00.000	60	-1066202.78847842	2494212.89370481
56B	2010-05-06 04:00:00.000	60	-1066194.19080489	2494206.03670481
56B	2010-05-06 05:00:00.000	60	-1066199.97527447	2494210.24065545
56B	2010-05-06 06:00:00.000	60	-1067216.36917884	2494354.94596715
56B	2010-05-06 07:00:00.000	60	-1067297.16658183	2494225.94097356
56B	2010-05-06 08:00:00.000	60	-1067353.74790664	2494471.40293558
56B	2010-05-06 09:00:00.000	60	-1067390.17830792	2494690.3503322
56B	2010-05-06 10:00:00.000	60	-1067400.13616937	2494726.64962287
56B	2010-05-06 11:00:00.000	60	-1067403.59067517	2494719.27184752
56B	2010-05-06 12:00:00.000	60	-1067427.0581657	2494327.82651233
56B	2010-05-06 13:00:00.000	60	-1067274.32841216	2494118.05309533
56B	2010-05-06 14:00:00.000	60	-1067251.24584829	2494167.60669703
56B	2010-05-06 15:00:00.000	60	-1067301.53458111	2494134.33178679
56B	2010-05-06 16:00:00.000	60	-1067117.13609317	2494261.96418941
56B	2010-05-06 17:00:00.000	60	-1067025.99297631	2494095.90647066
56B	2010-05-06 18:00:00.000	60	-1066507.53017975	2493424.23636346
56B	2010-05-06 19:00:00.000	60	-1065118.8078935	2493664.97222207
56B	2010-05-06 20:00:00.000	60	-1062716.57911834	2493915.10144357
56B	2010-05-06 21:00:00.000	60	-1060744.55488696	2494699.68828829
56B	2010-05-06 22:00:00.000	60	-1059453.12191998	2494856.29925043
56B	2010-05-06 23:00:00.000	60	-1059464.72089285	2494819.71491077
56B	2010-05-07 00:00:00.000	60	-1059455.63526253	2494838.66338617
